id	date
MVs/Saskatchewan.CAN/22.19_D8_2019-06-09	2019-06-09
MVs/Quebec.CAN/4.19_D8_GirSomnath_2019-01-28	2019-01-28
MVs/Quebec.CAN/4.19/2_D8_GirSomnath_2019-01-31	2019-01-31
MVs/Quebec.CAN/33.19_D8_GirSomnath_2019-08-21	2019-08-21
MVs/Quebec.CAN/31.19_D8_GirSomnath_2019-08-06	2019-08-06
MVs/Quebec.CAN/31.19/3_D8_GirSomnath_2019-08-06	2019-08-06
MVs/Quebec.CAN/31.19/2_D8_GirSomnath_2019-08-07	2019-08-07
MVs/Quebec.CAN/30.19_D8_GirSomnath_2019-08-04	2019-08-04
MVs/Quebec.CAN/25.19_D8_GirSomnath_2019-06-29	2019-06-29
MVs/Quebec.CAN/12.19_D8_GirSomnath_2019-03-27	2019-03-27
MVs/Ontario.CAN/7.19_D8_GirSomnath_2019-02-24	2019-02-24
MVs/Ontario.CAN/7.18_D8_2018-02-12	2018-02-12
MVs/Ontario.CAN/6.18_D8_2018-02-09	2018-02-09
MVs/Ontario.CAN/51.18_D8_GirSomnath_2018-12-17	2018-12-17
MVs/Ontario.CAN/24.18_D8_GirSomnath_2018-06-13s	2018-06-13
MVs/Ontario.CAN/23.19_D8_GirSomnath_2019-06-15	2019-06-15
MVs/Ontario.CAN/22.18_D8_2018-05-29	2018-05-29
MVs/Ontario.CAN/21.19_D8_GirSomnath_2019-06-01	2019-06-01
MVs/Ontario.CAN/19.19_D8_GirSomnath_2019-05-17	2019-05-17
MVs/Ontario.CAN/18.19_D8_GirSomnath_2019-05-09	2019-05-09
MVs/Ontario.CAN/18.18_D8_2018-05-02	2018-05-02
MVs/Ontario.CAN/14.19_D8_GirSomnath_2019-04-13	2019-04-13
MVs/Ontario.CAN/13.19_D8_GirSomnath_2019-04-03	2019-04-03
MVs/Ontario.CAN/12.19_D8_GirSomnath_2019-03-30	2019-03-30
MVs/Ontario.CAN/10.18_D8_2018-03-06	2018-03-06
MVs/New_Brunswick.CAN/18.19_D8_GirSomnath_2019-05-10	2019-05-10
MVs/New_Brunswick.CAN/15.19_D8_GirSomnath_2019-04-21	2019-04-21
MVs/Manitoba.CAN/38.18_D8_2018-09-21	2018-09-21
MVs/New_Brunswick.CAN/20.19/2_D8_GIrSomnath_2019-05-26	2019-05-26
MVs/British_Columbia/25.18/2_D8_GirSomnath_2018-06-24	2018-06-24
MVs/British_Columbia.CAN/9.19_D8_2019-03-04	2019-03-04
MVs/British_Columbia.CAN/9.19/2_D8_GirSomnath_2019-03-04	2019-03-04
MVs/British_Columbia.CAN/7.19/5_D8_GirSomnath_2019-02-22	2019-02-22
MVs/New_Brunswick.CAN/20.19/5_D8_GirSomnath_2019-05-26	2019-05-26
MVs/British_Columbia.CAN/7.19/4_D8_GirSomnath_2019-02-18	2019-02-18
MVS/British_Columbia.CAN/7.19/2_D8_GirSomnath_2019-02-23	2019-02-23
MVs/British_Columbia.CAN/6.19_D8_GirSomnath_2019-02-12	2019-02-12
MVs/British_Columbia.CAN/5.19_D8_GIrSomnath_2019-02-09	2019-02-09
MVs/British_Columbia.CAN/5.19/2_D8_GirSomnath_2019-02-09	2019-02-09
MVs/British_Columbia.CAN/37.18_D8_GirSomnath_2018-09-12	2018-09-12
MVs/British_Columbia.CAN/34.18_D8_2018-08-21	2018-08-21
MVs/British_Columbia.CAN/3.19_D8_GirSomnath_2019-01-21	2019-01-21
MVs/British_Columbia.CAN/14.19_D8_2019-04-13	2019-04-13
MVs/British_Columbia.CAN/13.19_D8_GirSomnath_2019-03-31	2019-03-31
MVs/British_Columbia.CAN/12.19/3_D8_GirSomnath_2019-03-30	2019-03-30
MVs/British_Columbia.CAN/12.19/2_D8_GirSomnath_2019-03-31	2019-03-31
MVs/British_Columbia.CAN/11.19_D8_2019-03-19	2019-03-19
MVs/British_Columbia.CAN/10.19_D8_GirSomnath_2019-03-16	2019-03-16
MVs/Alberta.CAN/4.20__D8_2020-01-31	2020-01-31
MVs/Alberta.CAN/4.18_D8_2018-01-22	2018-01-22
MVs/Alberta.CAN/27.18_D8_GirSomnath_2018-07-08	2018-07-08
MVs/Alberta.CAN/23.18_D8_2018-06-07	2018-06-07
MVs/Alberta.CAN/22.18_D8_2018-05-29	2018-05-29
MVs/Alberta.CAN/22.18/2_D8_2018-05-31	2018-05-31
MVs/Alberta.CAN/19.18_D8_2018-05-12	2018-05-12
MVs/Quebec.CAN/23.19_D8_GIrSomnath_2019-06-13	2019-06-13
