id	date
MK513622.1_Measles_virus_genotype_B3_strain_MVs/Padova.ITA/24.17/1B3_complete_genome	2017-06-12
MVs/Ontario.CAN/18.19/2_B3_2019-05-09	2019-05-09
MVs/Quebec.CAN/6.19_B3_2019-02-12	2019-02-12
MVs/Quebec.CAN/17.19_B3_2019-04-30	2019-04-30
MVs/Quebec.CAN/17.18_B3_2018-04-23	2018-04-23
MVs/Quebec.CAN/16.18_B3_2018-04-20	2018-04-20
MVs/Quebec.CAN/16.18/2_B3_2018-04-20	2018-04-20
MVs/Ontario.CAN/8.19_B3_2019-02-26	2019-02-26
MVs/Ontario.CAN/44.19_B3_2019-11-08	2019-11-08
MVs/Ontario.CAN/17.19_B3_2019-04-29	2019-04-29
MVs/Ontario.CAN/11.19_B3_2019-03-22	2019-03-22
MVs/Northwest_Territories.CAN/6.19_B3_2019-02-17	2019-02-17
MVs/British_Columbia.CAN/7.19/3_B3_2019-02-19	2019-02-19
MVs/British_Columbia.CAN/46.18_B3_2018-11-18	2018-11-18
MVs/British_Columbia.CAN/4.19_B3_2019-01-31	2019-01-31
MVs/British_Columbia.CAN/29.19_B3_2019-07-25	2019-07-25
MVs/British_Columbia.CAN/26.19_B3_2019-07-05	2019-07-05
MVs/British_Columbia.CAN/25.18_B3_2018-06-22	2018-06-22
MVs/British_Columbia.CAN/12.19_B3_2019-03-27	2019-03-27
MVs/Britih_Columbia.CAN/44.18_B3_2018-11-03	2018-11-03
MVs/British_Columbia.CAN/7.19_B3_2019-02-18	2019-02-18
MVs/Alberta.CAN/12.19_B3_2019-03-29	2019-03-29
