accessionVersion,genotype,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs
PP_004FFJG.1,D8,2024-02-07,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614698.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614698.1,,,MVs/Limburg.NLD/6.24[D8],0,0
PP_004FFKE.1,D8,2024-02-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614699.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.994714986787467,,,PX614699.1,,,MVs/Limburg.NLD/6.24/2[D8],0,3
PP_004FFLC.1,D8,2024-02-15,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614700.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614700.1,,,MVs/Noord-Brabant.NLD/7.24[D8],0,152
PP_004FFMA.1,D8,2024-02-28,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614701.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614701.1,,,MVs/Noord-Brabant.NLD/8.24[D8],0,152
PP_004FFN8.1,D8,2024-02-29,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614702.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985277463193658,,,PX614702.1,,,MVs/Noord-Brabant.NLD/9.24[D8],1,152
PP_004FFP6.1,D8,2024-03-07,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614703.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614703.1,,,MVs/Noord-Brabant.NLD/9.24/2[D8],0,152
PP_004FFQ4.1,D8,2024-03-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614704.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985277463193658,,,PX614704.1,,,MVs/Noord-Brabant.NLD/10.24[D8],1,152
PP_004FFR2.1,D8,2024-03-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614705.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985277463193658,,,PX614705.1,,,MVs/Noord-Brabant.NLD/10.24/2[D8],1,152
PP_004FFS0.1,D8,2024-03-13,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614706.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614706.1,,,MVs/Noord-Brabant.NLD/11.24[D8],0,152
PP_004FFTY.1,D8,2024-03-23,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614707.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9848999622499056,,,PX614707.1,,,MVs/Noord-Brabant.NLD/12.24/3[D8],7,152
PP_004FFUW.1,D8,2024-03-21,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614708.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614708.1,,,MVs/Noord-Brabant.NLD/12.24[D8],0,0
PP_004FFVU.1,D8,2024-03-21,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614709.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614709.1,,,MVs/Noord-Brabant.NLD/12.24/2[D8],0,0
PP_004FFWS.1,D8,2024-03-26,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614710.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9913803951176544,,,PX614710.1,,,MVs/Noord-Brabant.NLD/13.24[D8],2,54
PP_004FFXQ.1,D8,2024-03-25,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614711.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614711.1,,,MVs/Noord-Brabant.NLD/13.24/2[D8],0,0
PP_004FFYN.1,D8,2024-03-27,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614712.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614712.1,,,MVs/Noord-Brabant.NLD/13.24/3[D8],0,0
PP_004FFZL.1,D8,2024-03-06,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614713.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614713.1,,,MVs/Noord-Brabant.NLD/10.24/3[D8],0,0
