accessionVersion,genotype,sampleCollectionDate,geoLocCountry,geoLocAdmin1,authors,authorAffiliations,hostNameScientific,length,earliestReleaseDate,submissionId,groupName,dataUseTerms,dataUseTermsUrl,biosampleAccession,completeness,geoLocAdmin2,geoLocCity,insdcAccessionFull,insdcRawReadsAccession,isLabHost,specimenCollectorSampleId,totalAmbiguousNucs,totalUnknownNucs
PP_003R9Y8.1,B3,2024-11-20,Netherlands,,"Ma, C.; Cremer, J.; Zwagemaker, F.; van de Nes-Reijnen, L.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15678,2025-07-29,PV890907.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.986409966024915,,,PV890907.1,,,MVs/Utrecht.NLD/47.24[B3],0,0
PP_003R9Z6.1,B3,2024-09-03,Netherlands,,"Ma, C.; Cremer, J.; Zwagemaker, F.; van de Nes-Reijnen, L.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15678,2025-07-29,PV890908.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.986409966024915,,,PV890908.1,,,MVs/Noord-Holland.NLD/36.24[B3],0,0
PP_003RA04.1,B3,2024-09-16,Netherlands,,"Ma, C.; Cremer, J.; Zwagemaker, F.; van de Nes-Reijnen, L.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15678,2025-07-29,PV890909.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.986409966024915,,,PV890909.1,,,MVs/Noord-Holland.NLD/38.24[B3],0,0
PP_003RA12.1,B3,2024-09-01,Netherlands,,"Ma, C.; Cremer, J.; Zwagemaker, F.; van de Nes-Reijnen, L.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15678,2025-07-29,PV890910.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9863470492009564,,,PV890910.1,,,MVs/Gelderland.NLD/35.24[B3],1,0
PP_004FFJG.1,D8,2024-02-07,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614698.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9949037372593432,,,PX614698.1,,,MVs/Limburg.NLD/6.24[D8],0,0
PP_004FFKE.1,D8,2024-02-11,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614699.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.994714986787467,,,PX614699.1,,,MVs/Limburg.NLD/6.24/2[D8],0,3
PP_004FFLC.1,D8,2024-02-15,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614700.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614700.1,,,MVs/Noord-Brabant.NLD/7.24[D8],0,152
PP_004FFMA.1,D8,2024-02-28,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614701.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614701.1,,,MVs/Noord-Brabant.NLD/8.24[D8],0,152
PP_004FFN8.1,D8,2024-02-29,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614702.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.985277463193658,,,PX614702.1,,,MVs/Noord-Brabant.NLD/9.24[D8],1,152
PP_004FFP6.1,D8,2024-03-07,Netherlands,,"Maissan, C.; van de Nes-Reijnen, L.; Zwagemaker, F.; Cremer, J.; Bodewes, R.","National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)",Homo sapiens,15813,2025-12-27,PX614703.1,Automated Ingest from INSDC/NCBI Virus by Loculus,OPEN,https://pathoplexus.org/about/terms-of-use/open-data,,0.9853403800176168,,,PX614703.1,,,MVs/Noord-Brabant.NLD/9.24/2[D8],0,152
